Provincia;Anio;Trimestre;01_alimentos;02_tabaco;03_vestido;04_vivienda;05_hogar;06_sanidad;07_transporte;08_comunicaciones;09_ocio;10_enseñanza;11_restaurantes;12_otros;00_general
Toledo;2020;2;0.6513462928936433;0.4918836166627865;0.1515353637606511;0.0;0.462848590018295;0.3994992297663889;0.3964575968125729;0.3243354660311531;0.47216511062662336;0.22105835940688345;0.5662080896158802;0.536894856207667;0.09554455168275612
Toledo;2020;3;0.40550036017532004;0.3704164990722058;0.6795356007056238;0.0;0.5434224829236323;0.4868226665294885;0.5055886150172101;0.2981342785173768;0.3376925605672381;0.20383047033272308;0.33017338400027535;0.5110590759380375;0.06580169975212088
Toledo;2020;4;0.32140652120806584;0.5735178593620737;0.50148367390537;0.0;0.4435744368304159;0.4599774137482513;0.6381740105989405;0.2862213325396296;0.31334968650985223;0.37737998618876656;0.3428872148901529;0.36490402094392876;0.0674074074074064
Toledo;2021;1;0.3824847018581046;0.6583075560304651;0.7124546587341146;0.03554436048138828;0.20678861765512843;0.4570815112234232;0.6299295368843203;0.27961684872559306;0.4277537854162576;0.3654361284186973;0.4349096574570887;0.18738100582376963;0.08505575668186349
Toledo;2021;2;0.45208897546257587;0.6010916456707615;0.1860511061158844;0.010477299185099416;0.16631236306729416;0.6765516668403286;0.44530784848350696;0.5670995670995096;0.6467325210088793;0.17520531873289288;0.5873354853973815;0.5551362066329383;0.16075242174141438
Toledo;2021;3;0.4976645118258521;0.5700171026657342;0.6756614181488482;0.7052110483356676;0.9216209543220094;0.6088815713317195;0.4518284984266325;0.7313831765768448;0.6067551752015885;0.37726329564575267;0.48555810697742796;0.580697356561619;0.7475847272092985
Toledo;2021;4;0.6932441456857505;0.30696453336058666;0.4689449597571736;1.0;0.7424873780578595;0.2773991894798972;0.3857257722734333;0.70450041718815;0.3448525583204307;0.7035146708530551;0.35882763210599466;0.7014075784937214;0.9646818447168686
Toledo;2022;1;0.7656463778040038;0.3442775198479567;0.6665502735465866;1.0;0.987096108186229;0.6157833435111221;0.5552727535253528;0.7108084816764185;0.3533637992262862;0.6548315232525761;0.7367543951264109;0.46381711352294874;0.9867137571476633
Toledo;2022;2;0.7579559417659506;0.3370406447286182;0.5759412910333447;1.0;0.9411156612246835;0.37061515272797035;0.6185625355800752;0.7150320234753393;0.5841585624827;0.6677357914276669;0.572582059428857;0.616983367216814;0.9938681655595296
Toledo;2022;3;0.6432532287075051;0.4505562663891552;0.7226121531168505;1.0;0.8200918392497335;0.3059164028415346;0.5645154702151436;0.7165666609873709;0.49688729488560485;0.6149510682246712;0.4931500535459647;0.6153736139609595;0.964699819634116
Toledo;2022;4;0.6057165179610299;0.5607798636215211;0.6327042256769545;0.8948678728359157;0.8734770289626658;0.30077022248083196;0.5756754210352661;0.7156300299499736;0.4075012571244194;0.5217132459858078;0.6114452548742851;0.6225986303386283;0.9325904161940363
Toledo;2023;1;0.6730912049781584;0.7973486729436434;0.6769851868308985;0.7719935678200582;0.97423234963356;0.35219116188866345;0.6740615533142998;0.7164054041942965;0.4258181199424062;0.512590321874316;0.8269669615468086;0.7345004364369211;1.0
Toledo;2023;2;0.6803980696540503;0.6454001268110313;0.5269795676246908;0.7276140177417066;0.9532213942867732;0.3561433628844195;0.5963587820044168;0.7164042618874054;0.5049850257122686;0.5366761550251807;0.6451192334367283;0.8126376031763863;0.9743354477629902
Toledo;2023;3;0.6648918537886419;0.5731292020144647;0.5876417231254715;0.79231492211377;0.8271618897814189;0.41295486217887617;0.6021732826651234;0.7162653410039147;0.4809043131963566;0.6049417029079396;0.575167401407215;0.8531967957694094;1.0
Toledo;2023;4;0.6854752805038782;0.5340014366875765;0.5803743111153078;0.7697199585805247;0.9877940833915676;0.3935627346901874;0.6249014551635802;0.7164404583364682;0.5076019845607223;0.605249440601409;0.7180161435771203;0.847386852447437;1.0
